truth,predicted,n,share_of_truth
ovulation_confirmee,ovulation_confirmee,4169,0.93183
ovulation_confirmee,ovulation_douteuse,40,0.00894
ovulation_confirmee,anovulation,0,0.0
ovulation_confirmee,phase_luteale_courte,261,0.05834
ovulation_confirmee,donnees_insuffisantes,4,0.00089
ovulation_douteuse,ovulation_confirmee,65,0.04348
ovulation_douteuse,ovulation_douteuse,1172,0.78395
ovulation_douteuse,anovulation,177,0.11839
ovulation_douteuse,phase_luteale_courte,60,0.04013
ovulation_douteuse,donnees_insuffisantes,21,0.01405
anovulation,ovulation_confirmee,2,0.00133
anovulation,ovulation_douteuse,170,0.11281
anovulation,anovulation,1321,0.87658
anovulation,phase_luteale_courte,7,0.00464
anovulation,donnees_insuffisantes,7,0.00464
phase_luteale_courte,ovulation_confirmee,116,0.07602
phase_luteale_courte,ovulation_douteuse,119,0.07798
phase_luteale_courte,anovulation,0,0.0
phase_luteale_courte,phase_luteale_courte,1263,0.82765
phase_luteale_courte,donnees_insuffisantes,28,0.01835
donnees_insuffisantes,ovulation_confirmee,5,0.00501
donnees_insuffisantes,ovulation_douteuse,33,0.03307
donnees_insuffisantes,anovulation,10,0.01002
donnees_insuffisantes,phase_luteale_courte,19,0.01904
donnees_insuffisantes,donnees_insuffisantes,931,0.93287
