epoch,val_mae_present,val_presence_f1,presence_precision,presence_recall
1,0.083793,0.716809,0.725534,0.708292
2,0.062159,0.772754,0.792184,0.754253
3,0.050615,0.819946,0.832736,0.807543
4,0.041617,0.861922,0.87032,0.853685
5,0.035365,0.892507,0.894332,0.890689
6,0.031295,0.912497,0.909961,0.915046
7,0.028587,0.924094,0.922124,0.926073
8,0.026743,0.931751,0.928768,0.934753
9,0.025568,0.936374,0.93636,0.936388
10,0.024875,0.939356,0.93975,0.938961
11,0.024358,0.940939,0.942479,0.939403
12,0.024082,0.942023,0.942979,0.941069
13,0.023928,0.942619,0.944023,0.941219
14,0.023919,0.942623,0.943647,0.941601
15,0.023836,0.942846,0.942178,0.943514
